"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","4","5","6","7","8","9","10","11","12","1","2","3","square"
"82",324961897,183,14,56801,103.087114337568,12,13,21,27,14,14,8,15,13,14,17,16,11,"r3c1"
"83",324961901,2,4,240,30,1,0,0,0,0,0,0,2,0,0,0,0,0,"r3c1"
"84",324961902,3,5,156,22.2857142857143,3,0,1,0,0,0,0,1,0,0,0,1,0,"r3c1"
"85",324961903,80,10,4207,29.6267605633803,12,2,2,10,13,6,4,7,5,9,10,4,8,"r3c1"
"86",324998036,93,13,17177,83.3834951456311,12,4,11,10,11,13,2,8,15,3,7,6,3,"r3c1"
"87",324998039,8,5,1045,36.0344827586207,3,1,0,0,0,0,0,4,0,3,0,0,0,"r3c1"
"88",325034165,1,6,594,99,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"89",325034168,4,2,501,71.5714285714286,3,0,0,0,1,0,1,0,2,0,0,0,0,"r3c1"
"90",325070322,1,1,60,60,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"91",325106434,184,16,96953,113.661195779601,12,12,23,15,12,16,7,17,18,22,18,16,8,"r3c1"
"92",325214843,41,8,9297,90.2621359223301,12,3,2,3,3,7,2,3,5,5,4,3,1,"r3c1"
"93",325251001,11,8,4029,51,1,0,0,11,0,0,0,0,0,0,0,0,0,"r3c1"
"94",325251021,1,5,1125,225,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"95",325287137,2,8,1170,106.363636363636,2,0,0,0,1,0,1,0,0,0,0,0,0,"r3c1"
"96",325287156,1,2,120,60,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"97",325287157,229,13,77311,118.94,12,17,15,17,31,19,15,27,19,12,14,18,25,"r3c1"
"98",325323199,1,10,60,6,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"99",325323202,1,2,20,10,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"100",325323243,1,1,60,60,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"101",325323295,2,4,780,156,2,0,0,0,0,0,0,1,0,0,1,0,0,"r3c1"
"102",325359340,124,16,34910,108.080495356037,12,8,7,10,13,8,7,8,12,12,10,17,12,"r3c1"
"103",325359341,5,5,557,55.7,3,0,0,0,0,1,1,0,0,0,0,3,0,"r3c1"
"104",325359342,1,2,38,19,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"105",325359382,1,1,24,24,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"106",325359383,1,9,1800,200,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"107",325359413,1,7,245,35,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"108",325395520,2,7,1014,84.5,1,0,0,0,0,0,0,0,2,0,0,0,0,"r3c1"
"109",325395551,3,9,1623,81.15,1,0,3,0,0,0,0,0,0,0,0,0,0,"r3c1"
"110",325395552,1,4,600,150,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"111",325431686,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"112",325431688,28,13,12823,65.7589743589744,6,1,4,18,0,1,1,0,0,3,0,0,0,"r3c1"
"113",325431689,1,8,288,36,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"114",325467819,73,14,26845,82.6,10,2,5,0,6,14,2,5,6,0,9,14,10,"r3c1"
"115",325467821,3,12,1980,90,2,0,0,2,0,0,0,1,0,0,0,0,0,"r3c1"
"116",325467823,3,8,1295,107.916666666667,2,1,0,0,0,0,0,0,0,0,0,2,0,"r3c1"
"117",325467824,464,15,179941,63.560932532674,12,15,35,93,68,33,10,49,42,29,24,38,28,"r3c1"
"118",325467825,4,11,1680,70,4,1,0,0,1,0,0,1,1,0,0,0,0,"r3c1"
"119",325467826,2,10,626,48.1538461538462,2,0,0,0,0,0,0,0,0,1,1,0,0,"r3c1"
"120",325467827,5,13,2357,67.3428571428571,3,1,0,0,0,0,0,0,3,1,0,0,0,"r3c1"
"121",325467828,2,7,90,7.5,2,0,0,0,0,0,0,0,1,1,0,0,0,"r3c1"
"122",325503958,10,10,1139,22.3333333333333,4,0,1,0,1,0,0,0,1,0,0,7,0,"r3c1"
"123",325503959,2,4,7,1,1,0,0,0,0,0,0,0,0,0,0,2,0,"r3c1"
"124",325503961,2,7,420,30,1,0,0,0,0,2,0,0,0,0,0,0,0,"r3c1"
"125",325503964,55,14,25939,79.8123076923077,12,2,2,5,6,1,9,10,4,6,1,5,4,"r3c1"
"126",325503965,1,10,1800,180,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"127",325503968,12,10,3958,87.9555555555555,8,1,1,1,1,2,0,0,0,0,1,3,2,"r3c1"
"128",325503972,34,12,10808,60.0444444444444,9,1,7,5,1,3,2,0,2,0,9,4,0,"r3c1"
"129",325503973,1,3,15,5,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"130",325540017,1,2,300,150,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c1"
