"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","3","10","6","2","4","5","7","8","11","12","1","9","square"
"110",324744964,1,9,36,4,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"111",324745066,2,7,345,31.3636363636364,1,0,0,0,0,0,0,0,0,2,0,0,0,"r3c1"
"112",324745076,1,16,1920,120,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"113",324781209,2,4,240,30,1,0,0,0,0,0,0,0,2,0,0,0,0,"r3c1"
"114",324781212,175,57,73381,49.6152805949966,12,10,9,56,6,9,9,32,17,9,7,7,4,"r3c1"
"115",324781213,5,6,120,4,1,0,5,0,0,0,0,0,0,0,0,0,0,"r3c1"
"116",324781214,15,17,1922,28.6865671641791,7,0,1,3,1,0,0,0,1,0,3,2,4,"r3c1"
"117",324817240,10,32,11562,111.173076923077,5,0,0,0,2,2,2,0,0,0,3,1,0,"r3c1"
"118",324817349,2,8,1968,196.8,2,0,1,0,0,0,0,0,0,1,0,0,0,"r3c1"
"119",324817352,187,46,34916,43.9194968553459,12,17,25,24,6,9,14,32,11,23,14,7,5,"r3c1"
"120",324817353,9,17,3775,67.4107142857143,6,2,0,0,0,0,1,2,1,1,0,0,2,"r3c1"
"121",324853448,1,5,95,19,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"122",324853467,1,5,95,19,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"123",324853489,70,49,49202,82.6924369747899,11,7,4,28,7,4,3,5,0,2,2,3,5,"r3c1"
"124",324889625,1,5,145,29,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"125",324889626,2,10,900,45,1,0,2,0,0,0,0,0,0,0,0,0,0,"r3c1"
"126",324889627,1,8,880,110,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"127",324925730,6,40,24120,236.470588235294,2,0,1,0,0,0,0,0,0,0,0,0,5,"r3c1"
"128",324925761,1,6,12,2,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"129",324925762,19,34,7649,49.3483870967742,7,2,4,0,0,3,5,3,0,0,0,1,1,"r3c1"
"130",324925765,59,37,10809,31.5131195335277,12,4,13,4,2,1,11,6,4,6,1,3,4,"r3c1"
"131",324961896,1,8,480,60,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"132",324961897,207,68,267987,97.9126781147241,12,13,19,31,18,19,23,15,14,14,14,19,8,"r3c1"
"133",324961898,1,4,48,12,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"134",324961899,1,5,165,33,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"135",324961901,2,11,660,30,1,0,2,0,0,0,0,0,0,0,0,0,0,"r3c1"
"136",324961902,4,17,788,27.1724137931034,4,0,1,0,1,0,1,0,0,1,0,0,0,"r3c1"
"137",324961903,183,42,27678,26.4861244019139,12,21,11,34,15,13,7,22,20,8,10,17,5,"r3c1"
"138",324961904,1,8,240,30,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"139",324961905,2,9,354,29.5,2,0,0,1,0,0,0,0,1,0,0,0,0,"r3c1"
"140",324998035,1,2,20,10,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"141",324998036,105,60,90159,82.0373066424022,12,4,9,10,7,7,11,13,14,15,3,10,2,"r3c1"
"142",324998037,2,8,624,78,2,0,0,0,0,0,0,1,0,0,0,1,0,"r3c1"
"143",324998039,8,25,3858,39.7731958762887,3,0,4,0,0,1,0,0,0,0,3,0,0,"r3c1"
"144",325034086,1,5,190,38,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"145",325034165,1,14,1386,99,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"146",325034168,6,17,2539,61.9268292682927,5,0,0,0,1,0,1,1,0,2,0,0,1,"r3c1"
"147",325070308,1,7,455,65,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"148",325070322,1,7,420,60,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"149",325101038,1,3,30,10,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"150",325106434,188,69,279190,112.758481421648,12,8,17,15,16,12,23,12,19,19,22,18,7,"r3c1"
"151",325178741,3,6,540,30,1,0,3,0,0,0,0,0,0,0,0,0,0,"r3c1"
"152",325214843,52,41,58960,90.9876543209877,12,1,4,4,6,6,3,3,7,5,5,6,2,"r3c1"
"153",325251001,11,10,5151,51,1,0,0,11,0,0,0,0,0,0,0,0,0,"r3c1"
"154",325251021,5,20,3843,87.3409090909091,4,1,0,0,0,1,0,0,0,2,1,0,0,"r3c1"
"155",325287137,2,15,2010,111.666666666667,2,0,0,0,0,0,0,1,0,0,0,0,1,"r3c1"
"156",325287156,2,9,440,40,2,0,1,0,1,0,0,0,0,0,0,0,0,"r3c1"
"157",325287157,250,56,339894,115.610204081633,12,29,30,22,19,18,15,32,21,19,13,15,17,"r3c1"
"158",325323189,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"159",325323199,1,29,174,6,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"160",325323202,1,4,40,10,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"161",325323243,1,6,360,60,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"162",325323295,2,17,3990,153.461538461538,2,0,1,0,0,0,0,0,0,0,0,1,0,"r3c1"
"163",325359339,2,6,300,25,1,0,0,0,0,0,0,0,0,0,0,0,2,"r3c1"
"164",325359340,150,56,173100,110.114503816794,12,16,11,10,20,10,8,15,10,13,14,12,11,"r3c1"
"165",325359341,5,17,2169,48.2,3,0,0,0,3,0,0,0,1,0,0,0,1,"r3c1"
"166",325359342,1,4,76,19,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"167",325359382,1,3,72,24,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"168",325359383,2,16,2920,162.222222222222,2,0,1,0,1,0,0,0,0,0,0,0,0,"r3c1"
"169",325359395,1,6,324,54,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"170",325359413,1,9,315,35,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"171",325395520,6,25,6352,119.849056603774,4,1,2,0,1,0,0,0,0,2,0,0,0,"r3c1"
"172",325395551,3,13,2049,85.375,1,0,0,0,0,0,3,0,0,0,0,0,0,"r3c1"
"173",325395552,1,8,1200,150,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"174",325431686,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"175",325431688,28,24,16365,69.0506329113924,6,0,0,18,0,1,4,0,1,0,3,0,1,"r3c1"
"176",325431689,1,9,324,36,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"177",325431712,4,10,258,11.7272727272727,1,0,0,0,0,0,0,0,0,0,0,0,4,"r3c1"
"178",325467819,75,39,49232,79.1511254019293,10,10,6,0,14,2,5,7,14,6,0,9,2,"r3c1"
"179",325467821,3,16,2700,90,2,0,1,2,0,0,0,0,0,0,0,0,0,"r3c1"
"180",325467823,3,11,1717,107.3125,2,0,0,0,2,1,0,0,0,0,0,0,0,"r3c1"
"181",325467824,471,43,217830,64.5039976310335,12,28,51,93,38,15,37,68,34,43,29,25,10,"r3c1"
"182",325467825,4,14,2130,73.448275862069,4,0,1,0,0,1,0,1,0,1,0,0,0,"r3c1"
"183",325467826,3,14,716,42.1176470588235,3,0,0,0,0,1,0,0,0,0,1,1,0,"r3c1"
"184",325467827,5,16,2766,65.8571428571429,3,0,0,0,0,1,0,0,0,3,1,0,0,"r3c1"
"185",325467828,2,8,97,7.46153846153846,2,0,0,0,0,0,0,0,0,1,1,0,0,"r3c1"
"186",325503958,11,25,2137,28.8783783783784,5,0,0,0,7,1,1,1,0,1,0,0,0,"r3c1"
"187",325503959,2,8,11,1,1,0,0,0,2,0,0,0,0,0,0,0,0,"r3c1"
"188",325503961,2,7,420,30,1,0,0,0,0,0,0,0,2,0,0,0,0,"r3c1"
"189",325503964,60,56,51667,91.1234567901235,12,5,11,6,5,2,3,6,1,4,7,1,9,"r3c1"
"190",325503965,1,19,3420,180,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"191",325503968,13,15,5698,86.3333333333333,8,3,0,1,3,1,1,1,2,0,0,1,0,"r3c1"
"192",325503972,38,30,17735,57.9575163398693,9,0,0,5,5,3,7,1,3,2,0,10,2,"r3c1"
"193",325503973,1,3,15,5,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"194",325540017,1,12,1800,150,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"195",325540095,1,8,16,2,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"196",325540096,3,8,21,1,1,0,0,0,3,0,0,0,0,0,0,0,0,"r3c1"
