"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"8920",15,"Natural",185.106889230943,0,Inf,181.593706505573,188.653730849251
"8921",15,"Suburban",135.5818192388,0,Inf,132.987014604986,138.201694422031
"8922",15,"Urban",116.755494415689,0,Inf,113.902308164383,119.643975303124
"8923",20,"Natural",175.974062265836,0,Inf,173.116006644265,178.855517633061
"8924",20,"Suburban",130.77275795335,0,Inf,128.683749747723,132.878586033909
"8925",20,"Urban",113.769988871838,0,Inf,111.421682617952,116.14278400736
"8926",25,"Natural",167.072269012623,0,Inf,164.793269993894,169.366918640266
"8927",25,"Suburban",126.050531877489,0,Inf,124.40421289531,127.707672756741
"8928",25,"Urban",110.82314984329,0,Inf,108.880627414032,112.782847521798
"8929",30,"Natural",158.401509471304,0,Inf,156.59056773923,160.222862693997
"8930",30,"Suburban",121.415141011218,0,Inf,120.107795403952,122.729563234402
"8931",30,"Urban",107.914977330045,0,Inf,106.223968964463,109.61933942657
"8932",35,"Natural",149.96178364188,0,Inf,148.447689243673,151.483560425566
"8933",35,"Suburban",116.866585354536,0,Inf,115.726935471702,118.011819269317
"8934",35,"Urban",105.045471332103,0,Inf,103.397808787624,106.706158207553
"8935",40,"Natural",141.753091524349,0,Inf,140.3022132373,143.21143310563
"8936",40,"Suburban",112.404864907444,0,Inf,111.213790565953,113.602283389347
"8937",40,"Urban",102.214631849464,0,Inf,100.403630410702,104.041820337111
"8938",45,"Natural",133.775433118713,0,Inf,132.16483842967,135.395782024459
"8939",45,"Suburban",108.029979669942,0,Inf,106.612806804009,109.456509481212
"8940",45,"Urban",99.4224588821268,0,Inf,97.3026848579057,101.565074787493
"8941",50,"Natural",126.028808424971,0,Inf,124.12069103048,127.951480975328
"8942",50,"Suburban",103.741929642029,0,Inf,102.007425228722,105.491056502224
"8943",50,"Urban",96.6689524300928,0,Inf,94.1599781111982,99.2109155844895
"8944",55,"Natural",118.513217443124,0,Inf,116.247564244964,120.800736746469
"8945",55,"Suburban",99.5407148237058,0,Inf,97.4523110970005,101.65125919553
"8946",55,"Urban",93.9541124933615,0,Inf,91.017398160977,96.9374547339032
"8947",60,"Natural",111.22866017317,0,Inf,108.58950437006,113.899503049936
"8948",60,"Suburban",95.4263352149721,0,Inf,92.9744171878608,97.9101647738659
"8949",60,"Urban",91.2779390719331,0,Inf,87.8981332203873,94.7215040167187
"8950",65,"Natural",104.175136615111,0,Inf,101.168751179412,107.225540102101
"8951",65,"Suburban",91.398790815828,0,Inf,88.5868148739223,94.2547018893322
"8952",65,"Urban",88.6404321658073,0,Inf,84.8148869825525,92.5503597486238
"8953",70,"Natural",97.3526467689459,0,Inf,93.9967893293076,100.767363254535
"8954",70,"Suburban",87.4580816262735,0,Inf,84.2962445323469,90.6781301270049
"8955",70,"Urban",86.0415917749844,0,Inf,81.7748857579515,90.4167956192157
"8956",0,"Natural",211.869749939812,0,Inf,206.109804054106,217.709074234157
"8957",0,"Suburban",148.726681274443,0,Inf,144.422529239058,153.094032263145
"8958",0,"Urban",126.228860366778,0,Inf,121.547454378439,130.998723228829
"8959",5,"Natural",202.229111917286,0,Inf,197.268606163476,207.251213932464
"8960",5,"Suburban",143.837787867105,0,Inf,140.137714980472,147.586073083097
"8961",5,"Urban",123.098009795532,0,Inf,119.063809033667,127.199421421566
"8962",10,"Natural",192.81294806556,0,Inf,188.609558332157,197.062661813497
"8963",10,"Suburban",139.030595930902,0,Inf,135.907549040942,142.189118933195
"8964",10,"Urban",120.006475531174,0,Inf,116.585946560693,123.476459297284
"8965",15,"Natural",183.621258384635,0,Inf,180.127302393089,187.148776048676
"8966",15,"Suburban",134.305105465836,0,Inf,131.726722292445,136.908478941979
"8967",15,"Urban",116.954257573702,0,Inf,114.102892314174,119.840811501521
"8968",20,"Natural",174.65404287451,0,Inf,171.812260347812,177.519134634123
"8969",20,"Suburban",129.661316471905,0,Inf,127.585245601966,131.754142241905
