"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"54826",197848079,4,43,4395,54.9375,2,"r2c2AA"
"54827",197848080,1,1,1,1,1,"r2c2AA"
"54828",197848082,24,53,6738,26.5275590551181,3,"r2c2AA"
"54829",197848083,3,36,5502,90.1967213114754,3,"r2c2AA"
"54830",197848089,2,26,1860,64.1379310344828,2,"r2c2AA"
"54831",197848097,2,28,475,12.8378378378378,2,"r2c2AA"
"54832",197848098,10,76,17471,85.2243902439024,3,"r2c2AA"
"54833",197848099,10,70,20565,80.33203125,3,"r2c2AA"
"54834",197848100,25,94,40394,69.1678082191781,3,"r2c2AA"
"54835",197848104,2,29,7020,180,2,"r2c2AA"
"54836",197848122,1,11,1045,95,1,"r2c2AA"
"54837",197848142,1,17,170,10,1,"r2c2AA"
"54838",197848145,2,15,100,5.88235294117647,2,"r2c2AA"
"54839",197848146,1,2,20,10,1,"r2c2AA"
"54840",197848150,3,26,221,6.5,2,"r2c2AA"
"54841",197848188,1,6,144,24,1,"r2c2AA"
"54842",197848189,6,25,2231,38.4655172413793,3,"r2c2AA"
"54843",197884097,98,116,212592,103.551875304433,3,"r2c2AA"
"54844",197884098,1,9,324,36,1,"r2c2AA"
"54845",197884101,13,52,10151,46.778801843318,3,"r2c2AA"
"54846",197884102,26,69,19264,53.5111111111111,3,"r2c2AA"
"54847",197884103,1,7,609,87,1,"r2c2AA"
"54848",197884104,1,16,720,45,1,"r2c2AA"
"54849",197884106,1,5,95,19,1,"r2c2AA"
"54850",197884135,1,13,520,40,1,"r2c2AA"
"54851",197884161,3,60,5954,76.3333333333333,2,"r2c2AA"
"54852",197884162,1,5,70,14,1,"r2c2AA"
"54853",197884163,13,50,8792,63.2517985611511,3,"r2c2AA"
"54854",197884173,1,12,264,22,1,"r2c2AA"
"54855",197884178,25,86,71046,134.302457466919,3,"r2c2AA"
"54856",197884179,1,16,192,12,1,"r2c2AA"
"54857",197884180,11,61,13883,70.4720812182741,3,"r2c2AA"
"54858",197884182,1,10,80,8,1,"r2c2AA"
"54859",197884183,5,36,3242,44.4109589041096,2,"r2c2AA"
"54860",197884224,6,53,12164,87.5107913669065,3,"r2c2AA"
"54861",197884225,3,13,197,15.1538461538462,2,"r2c2AA"
"54862",197884228,1,28,1204,43,1,"r2c2AA"
"54863",197884232,1,9,270,30,1,"r2c2AA"
"54864",197884260,1,20,1040,52,1,"r2c2AA"
"54865",197884270,1,7,217,31,1,"r2c2AA"
"54866",197884271,11,52,9248,62.0671140939597,3,"r2c2AA"
"54867",197920183,7,36,3588,44.2962962962963,3,"r2c2AA"
"54868",197920184,4,37,2850,50,2,"r2c2AA"
"54869",197920185,9,64,9903,58.5976331360947,3,"r2c2AA"
"54870",197920186,15,69,10327,44.7056277056277,3,"r2c2AA"
"54871",197920187,12,56,6710,42.4683544303797,3,"r2c2AA"
"54872",197920188,20,79,25033,76.0881458966565,3,"r2c2AA"
"54873",197920209,1,13,169,13,1,"r2c2AA"
"54874",197920231,1,11,550,50,1,"r2c2AA"
"54875",197920232,2,30,1244,34.5555555555556,2,"r2c2AA"
"54876",197920236,1,31,2511,81,1,"r2c2AA"
"54877",197920244,1,22,2640,120,1,"r2c2AA"
"54878",197920246,3,25,5805,126.195652173913,1,"r2c2AA"
"54879",197920260,2,50,9035,167.314814814815,2,"r2c2AA"
"54880",197920262,2,20,1475,61.4583333333333,2,"r2c2AA"
"54881",197920267,6,32,1149,23.4489795918367,2,"r2c2AA"
"54882",197920268,5,29,501,11.9285714285714,2,"r2c2AA"
"54883",197920280,13,34,14850,121.72131147541,3,"r2c2AA"
"54884",197920305,5,28,1482,26,1,"r2c2AA"
"54885",197920306,5,25,5490,98.0357142857143,2,"r2c2AA"
"54886",197920313,5,42,9724,86.0530973451327,2,"r2c2AA"
"54887",197920314,2,22,680,24.2857142857143,2,"r2c2AA"
