"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"20243",146396793,1,26,2444,94,1,"r2c2ABB"
"20244",146396797,1,27,1134,42,1,"r2c2ABB"
"20245",146396802,1,38,4598,121,1,"r2c2ABB"
"20246",146396804,1,3,27,9,1,"r2c2ABB"
"20247",146396807,5,18,364,19.1578947368421,1,"r2c2ABB"
"20248",146396844,1,16,1520,95,1,"r2c2ABB"
"20249",146432535,19,36,3565,26.8045112781955,3,"r2c2ABB"
"20250",146432555,4,10,218,13.625,2,"r2c2ABB"
"20251",146432556,20,43,4524,32.3142857142857,3,"r2c2ABB"
"20252",146432557,34,50,13438,48.6884057971015,2,"r2c2ABB"
"20253",146432558,6,28,5769,117.734693877551,2,"r2c2ABB"
"20254",146432570,2,18,245,11.6666666666667,1,"r2c2ABB"
"20255",146432572,1,7,126,18,1,"r2c2ABB"
"20256",146432598,1,20,1520,76,1,"r2c2ABB"
"20257",146432612,2,13,237,14.8125,1,"r2c2ABB"
"20258",146432614,1,1,27,27,1,"r2c2ABB"
"20259",146432618,1,7,70,10,1,"r2c2ABB"
"20260",146432619,1,9,108,12,1,"r2c2ABB"
"20261",146432620,3,14,141,6.71428571428571,1,"r2c2ABB"
"20262",146432622,1,26,2678,103,1,"r2c2ABB"
"20263",146432624,2,2,6,3,2,"r2c2ABB"
"20264",146432629,2,11,98,6.125,1,"r2c2ABB"
"20265",146432633,1,16,960,60,1,"r2c2ABB"
"20266",146432634,1,14,840,60,1,"r2c2ABB"
"20267",146432642,5,21,1990,51.025641025641,3,"r2c2ABB"
"20268",146432643,3,12,1140,60,3,"r2c2ABB"
"20269",146432644,2,9,720,60,2,"r2c2ABB"
"20270",146432645,3,14,825,51.5625,2,"r2c2ABB"
"20271",146432650,1,7,420,60,1,"r2c2ABB"
"20272",146432651,12,45,12024,72.433734939759,2,"r2c2ABB"
"20273",146432652,8,28,5342,47.6964285714286,2,"r2c2ABB"
"20274",146432655,1,1,42,42,1,"r2c2ABB"
"20275",146432657,1,4,20,5,1,"r2c2ABB"
"20276",146432664,1,1,11,11,1,"r2c2ABB"
"20277",146432665,9,37,3673,37.1010101010101,2,"r2c2ABB"
"20278",146432667,1,18,1224,68,1,"r2c2ABB"
"20279",146432670,1,5,50,10,1,"r2c2ABB"
"20280",146432673,2,13,927,61.8,1,"r2c2ABB"
"20281",146432677,5,21,4710,79.8305084745763,2,"r2c2ABB"
"20282",146432678,1,4,540,135,1,"r2c2ABB"
"20283",146432679,6,28,4020,60,1,"r2c2ABB"
"20284",146432680,4,12,740,28.4615384615385,2,"r2c2ABB"
"20285",146432682,1,5,100,20,1,"r2c2ABB"
"20286",146432683,4,30,1780,41.3953488372093,2,"r2c2ABB"
"20287",146432684,7,19,542,20.8461538461538,2,"r2c2ABB"
"20288",146432685,7,46,5911,55.7641509433962,2,"r2c2ABB"
"20289",146432687,1,17,1020,60,1,"r2c2ABB"
"20290",146432689,2,10,1140,95,2,"r2c2ABB"
"20291",146432692,7,42,6681,66.1485148514851,2,"r2c2ABB"
"20292",146432693,1,6,30,5,1,"r2c2ABB"
"20293",146432700,1,8,480,60,1,"r2c2ABB"
"20294",146432707,1,14,840,60,1,"r2c2ABB"
"20295",146432712,8,28,3416,63.2592592592593,3,"r2c2ABB"
"20296",146432714,1,7,210,30,1,"r2c2ABB"
"20297",146432719,4,19,1620,60,2,"r2c2ABB"
"20298",146432720,2,10,780,60,1,"r2c2ABB"
"20299",146432721,1,3,180,60,1,"r2c2ABB"
"20300",146432722,1,4,240,60,1,"r2c2ABB"
"20301",146432723,2,16,716,27.5384615384615,1,"r2c2ABB"
"20302",146432729,38,65,8683,26.7169230769231,3,"r2c2ABB"
"20303",146432730,29,65,8324,33.8373983739837,3,"r2c2ABB"
"20304",146432731,4,27,1431,36.6923076923077,2,"r2c2ABB"
"20305",146432732,4,14,88,5.5,2,"r2c2ABB"
"20306",146432733,1,16,960,60,1,"r2c2ABB"
"20307",146432734,33,52,16817,44.7260638297872,3,"r2c2ABB"
"20308",146432735,5,23,1924,46.9268292682927,3,"r2c2ABB"
"20309",146432736,6,26,2820,47,2,"r2c2ABB"
"20310",146432741,1,5,40,8,1,"r2c2ABB"
"20311",146432743,3,28,2100,52.5,2,"r2c2ABB"
"20312",146432746,1,5,100,20,1,"r2c2ABB"
"20313",146432748,2,31,2568,61.1428571428571,2,"r2c2ABB"
"20314",146432749,1,13,377,29,1,"r2c2ABB"
"20315",146432753,1,19,722,38,1,"r2c2ABB"
"20316",146432757,1,10,120,12,1,"r2c2ABB"
"20317",146432758,6,48,12350,134.239130434783,3,"r2c2ABB"
"20318",146432759,1,2,30,15,1,"r2c2ABB"
"20319",146432760,6,29,2860,53.9622641509434,1,"r2c2ABB"
"20320",146432762,3,29,2985,48.1451612903226,2,"r2c2ABB"
"20321",146432763,18,51,3823,18.7401960784314,3,"r2c2ABB"
"20322",146432764,22,64,14172,38.827397260274,3,"r2c2ABB"
"20323",146432765,3,32,2886,56.5882352941176,2,"r2c2ABB"
"20324",146432770,1,1,1,1,1,"r2c2ABB"
"20325",146432771,5,26,844,15.0714285714286,1,"r2c2ABB"
"20326",146432774,5,24,494,17.0344827586207,2,"r2c2ABB"
"20327",146432775,2,8,165,15,1,"r2c2ABB"
"20328",146432779,5,26,1889,59.03125,3,"r2c2ABB"
"20329",146432780,2,5,205,29.2857142857143,1,"r2c2ABB"
"20330",146432781,7,27,2532,46.8888888888889,2,"r2c2ABB"
"20331",146432787,2,8,171,15.5454545454545,1,"r2c2ABB"
"20332",146432788,63,79,29070,50.6445993031359,3,"r2c2ABB"
"20333",146432789,10,29,3896,51.9466666666667,3,"r2c2ABB"
"20334",146432790,52,84,31173,57.7277777777778,3,"r2c2ABB"
"20335",146432791,2,17,662,33.1,2,"r2c2ABB"
"20336",146432792,1,9,243,27,1,"r2c2ABB"
"20337",146432795,1,4,20,5,1,"r2c2ABB"
"20338",146432803,28,64,10576,35.0198675496689,3,"r2c2ABB"
"20339",146432804,55,57,25574,51.7692307692308,3,"r2c2ABB"
"20340",146432865,3,17,474,27.8823529411765,2,"r2c2ABB"
"20341",146432867,2,3,3,1,1,"r2c2ABB"
"20342",146432868,2,14,420,26.25,2,"r2c2ABB"
"20343",146432869,2,23,1754,62.6428571428571,2,"r2c2ABB"
"20344",146432872,1,13,663,51,1,"r2c2ABB"
"20345",146432884,3,49,8124,156.230769230769,1,"r2c2ABB"
"20346",146432885,4,51,8624,114.986666666667,2,"r2c2ABB"
"20347",146432926,2,5,12,2.4,1,"r2c2ABB"
"20348",146432927,3,14,168,11.2,2,"r2c2ABB"
"20349",146468614,1,1,11,11,1,"r2c2ABB"
"20350",146468615,1,4,36,9,1,"r2c2ABB"
"20351",146468636,1,3,30,10,1,"r2c2ABB"
"20352",146468637,14,34,3039,33.7666666666667,3,"r2c2ABB"
"20353",146468638,5,30,8372,226.27027027027,2,"r2c2ABB"
"20354",146468639,1,6,180,30,1,"r2c2ABB"
"20355",146468641,14,30,5356,50.5283018867925,1,"r2c2ABB"
