"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"39631",152422017,3,62,11193,106.6,3,"r2c2ABA"
"39632",152422018,5,29,1212,27.5454545454545,2,"r2c2ABA"
"39633",152422021,15,69,22009,91.7041666666667,3,"r2c2ABA"
"39634",152422022,175,113,181443,51.9745058722429,3,"r2c2ABA"
"39635",152422023,3,18,814,32.56,1,"r2c2ABA"
"39636",152422027,1,14,238,17,1,"r2c2ABA"
"39637",152422029,59,29,3022,10.1409395973154,3,"r2c2ABA"
"39638",152422031,1,20,220,11,1,"r2c2ABA"
"39639",152457713,1,5,600,120,1,"r2c2ABA"
"39640",152457715,2,10,409,37.1818181818182,2,"r2c2ABA"
"39641",152457716,2,19,986,37.9230769230769,1,"r2c2ABA"
"39642",152457724,1,13,143,11,1,"r2c2ABA"
"39643",152457730,5,43,5888,79.5675675675676,2,"r2c2ABA"
"39644",152457731,14,61,10954,69.3291139240506,3,"r2c2ABA"
"39645",152457732,81,77,75027,69.8575418994413,3,"r2c2ABA"
"39646",152457733,1,17,850,50,1,"r2c2ABA"
"39647",152457736,1,22,1320,60,1,"r2c2ABA"
"39648",152457753,22,41,9584,46.7512195121951,3,"r2c2ABA"
"39649",152457783,1,13,520,40,1,"r2c2ABA"
"39650",152457791,1,8,24,3,1,"r2c2ABA"
"39651",152457792,1,8,24,3,1,"r2c2ABA"
"39652",152457851,1,14,1442,103,1,"r2c2ABA"
"39653",152457859,1,22,550,25,1,"r2c2ABA"
"39654",152457863,6,31,3406,53.21875,1,"r2c2ABA"
"39655",152457874,1,14,756,54,1,"r2c2ABA"
"39656",152457875,1,13,468,36,1,"r2c2ABA"
"39657",152457885,4,21,218,5.06976744186047,2,"r2c2ABA"
"39658",152457891,1,6,30,5,1,"r2c2ABA"
"39659",152457899,1,8,288,36,1,"r2c2ABA"
"39660",152457902,6,25,1690,34.4897959183673,2,"r2c2ABA"
"39661",152457906,1,8,360,45,1,"r2c2ABA"
"39662",152457919,2,24,1350,40.9090909090909,2,"r2c2ABA"
"39663",152457921,9,38,7625,61.9918699186992,3,"r2c2ABA"
"39664",152457939,1,7,21,3,1,"r2c2ABA"
"39665",152457941,1,23,1242,54,1,"r2c2ABA"
"39666",152457942,2,21,898,33.2592592592593,1,"r2c2ABA"
"39667",152457955,5,24,632,16.2051282051282,2,"r2c2ABA"
"39668",152457958,1,1,10,10,1,"r2c2ABA"
"39669",152457964,2,56,11144,199,1,"r2c2ABA"
"39670",152457965,2,12,64,4.57142857142857,2,"r2c2ABA"
"39671",152457971,1,7,14,2,1,"r2c2ABA"
"39672",152457972,4,43,13501,173.089743589744,3,"r2c2ABA"
"39673",152457973,1,18,162,9,1,"r2c2ABA"
"39674",152457997,6,52,7754,67.4260869565217,3,"r2c2ABA"
"39675",152458000,2,10,200,20,2,"r2c2ABA"
"39676",152458008,181,65,131509,40.777984496124,3,"r2c2ABA"
"39677",152458010,4,26,2115,51.5853658536585,2,"r2c2ABA"
"39678",152458016,1,13,1170,90,1,"r2c2ABA"
"39679",152458020,2,17,2898,126,2,"r2c2ABA"
"39680",152458032,85,69,105514,68.9183540169824,3,"r2c2ABA"
"39681",152458033,3,16,133,5.78260869565217,2,"r2c2ABA"
"39682",152458038,1,5,300,60,1,"r2c2ABA"
"39683",152458039,1,31,2015,65,1,"r2c2ABA"
"39684",152458041,1,7,77,11,1,"r2c2ABA"
"39685",152458042,1,4,80,20,1,"r2c2ABA"
"39686",152458044,1,27,1242,46,1,"r2c2ABA"
"39687",152458047,6,26,498,9.22222222222222,2,"r2c2ABA"
"39688",152458050,11,22,437,6.33333333333333,3,"r2c2ABA"
"39689",152458054,13,61,48753,132.841961852861,3,"r2c2ABA"
"39690",152458056,14,39,1564,19.3086419753086,3,"r2c2ABA"
"39691",152458057,2,2,254,84.6666666666667,1,"r2c2ABA"
"39692",152458058,19,51,20810,61.7507418397626,3,"r2c2ABA"
