"cell_ID","SC_obs","obs.richness","sampsize_obs","SC_95","richness_95","sampsize_95","SC_97","richness_97","sampsize_97","SC_98","richness_98","sampsize_98","square"
10106415,0.998715038950564,357,779,0.949708172823176,208.001148448766,32,0.970733874759518,236.706337236149,54,0.979709101985432,254.96879200502,76,"r2c1"
10128053,0.999593123870675,365,2904,0.957566116382379,149.22977133209,36,0.972751201198949,171.073110236668,59,0.979779723225222,186.173876655216,82,"r2c1"
10424578,0.999442283334529,364,1434,0.952552567955834,233.117344419181,47,0.970626147903904,254.682831548899,70,0.980729899085557,271.964315811591,99,"r2c1"
10460692,0.997746752277462,351,803,0.950665797856249,233.364065857442,72,0.970578084444231,260.696260761985,114,0.980023834644584,279.362042593919,159,"r2c1"
10482389,0.999125090000975,370,1531,0.952399252915378,241.375844446275,74,0.970711113648136,266.159446122018,111,0.979549664668958,282.414696377064,148,"r2c1"
6687860,0.99980107380632,353,8054,0.959596074354322,170.577414921208,65,0.973824401565062,188.634336351574,98,0.980438280016572,200.846726921029,130,"r2c2AA"
6745724,0.999908320537997,358,10149,0.968302464694537,172.217095239495,41,0.968302464694537,172.217095239495,41,0.984066606920915,198.52500076732,82,"r2c2AA"
6839543,0.999980669872396,411,36728,0.986236195675087,229.124830632889,149,0.986236195675087,229.124830632889,149,0.986236195675087,229.124830632889,149,"r2c2AA"
6839646,0.999913058409573,379,14712,0.971738324253219,176.798362293662,60,0.971738324253219,176.798362293662,60,0.985589469847139,206.260050939811,119,"r2c2AA"
8538113,0.999853190756666,362,10285,0.942646752094159,161.448772816888,42,0.97135657428044,193.075899161087,83,0.981335418682672,211.710271643285,125,"r2c2AA"
9904230,0.996449787729912,351,1235,0.951030618011437,187.292167073039,95,0.969940184533567,222.60384973682,165,0.980196469417441,251.230242518587,254,"r2c2AA"
9954809,0.998455999613515,353,1007,0.948999044204365,194.212141206164,45,0.969196117090852,224.294822240193,77,0.979844017926688,248.582996801189,118,"r2c2AA"
10012635,0.998913685726014,361,1420,0.95218710728288,178.858161684128,35,0.970231629790199,203.589810788062,58,0.979416708984153,223.353110468806,86,"r2c2AA"
10345105,0.999861052930633,401,5434,0.963442774888063,194.139674044037,44,0.975266589870293,213.432211634669,66,0.981132214108533,227.309327397933,88,"r2c2AA"
10352330,0.999871630324371,462,9329,0.954179757209371,256.599026888484,76,0.97110387062661,282.508896811618,113,0.97969789749132,300.225726551014,151,"r2c2AA"
10381233,0.999756005153471,352,2529,0.956767664554321,204.945599804071,41,0.972748377523946,224.886076436434,62,0.980078558249508,237.773364103199,82,"r2c2AA"
10410146,0.999486919683794,386,2477,0.95483417757599,233.410210433194,60,0.971732345536701,255.357517156687,90,0.979798878174541,270.050702366014,120,"r2c2AA"
10424591,0.999764199655856,396,4687,0.947436089226282,199.65428881268,38,0.966554550701768,219.928814492232,57,0.980653295923615,244.264161108059,95,"r2c2AA"
10424608,0.999711966620696,374,3909,0.955860197049705,179.297648818383,48,0.97302488953402,202.975868077723,79,0.980711100265795,219.181844964605,111,"r2c2AA"
10439058,0.999814857979897,400,10331,0.946265526193049,169.817216999274,84,0.971762068744157,208.189709099997,167,0.980897265478387,231.281601999681,250,"r2c2AA"
10439066,0.999716446759982,371,3159,0.940926181746247,197.426553959745,26,0.974342177525944,228.892198706868,51,0.980415080531769,238.395757723613,64,"r2c2AA"
10446285,0.99934932842715,372,3964,0.945962909887051,189.137909608808,80,0.971221206899305,220.083526799271,144,0.980297208697249,238.918793109216,208,"r2c2AA"
10446286,0.999898397915059,407,8752,0.938310503743826,195.445043347367,36,0.970756435693455,232.023781555548,71,0.981440644204979,252.213328517067,106,"r2c2AA"
10446287,0.998839845269331,354,1499,0.950337886977806,197.419482364579,49,0.970206864690182,221.94301899749,79,0.980183715594199,240.545965461292,115,"r2c2AA"
10446288,0.999705802547,381,3284,0.953302527962928,224.757594329527,53,0.971198659529197,246.317057110155,80,0.979250685267772,260.16968402726,106,"r2c2AA"
10453514,0.999924202053029,415,7357,0.947899847952011,210.265864562247,30,0.976497546628902,243.922997686377,60,0.976497546628902,243.922997686377,60,"r2c2AA"
10467954,0.99931241298027,379,2444,0.949968391512037,200.873359408046,50,0.969195421615185,225.979063579017,79,0.980464583497042,247.579282842308,119,"r2c2AA"
10482442,0.998596160914418,363,1856,0.95229492404794,187.967936719092,68,0.970760988989638,216.863516697347,113,0.97996999748025,238.560666852087,165,"r2c2AA"
10489666,0.999562626670776,352,1425,0.948712518094616,194.611954836565,29,0.968663724535908,216.588809473622,46,0.979605846209196,235.2625396508,69,"r2c2AA"
10590851,0.999504158090304,367,3933,0.952136563700588,207.877961712108,80,0.972114487772243,233.37852775489,127,0.980972727722264,249.816807457992,175,"r2c2AA"
10590852,0.99974757458278,374,5049,0.952331893836559,170.479572108491,41,0.96820613553766,189.737424798464,62,0.98000261277104,213.344912469905,102,"r2c2AA"
10648714,0.999331234545492,370,1567,0.952964208046271,200.378125643432,38,0.96916491256269,221.861496534729,57,0.98062984346497,244.963250900998,89,"r2c2AA"
10771569,0.998735345491556,370,1199,0.950786924262023,208.593220317614,39,0.97068455920586,234.450009152662,63,0.980424179929194,254.153603641815,92,"r2c2AA"
11039046,0.998160075681565,379,1217,0.948921758301021,215.270622828379,69,0.970542052923887,249.041052809047,118,0.980238928840896,272.24210875163,172,"r2c2AA"
11335417,0.998251572859002,384,1181,0.951211337182944,199.109487164969,53,0.970487312749603,232.437828087139,91,0.980065463244647,258.854717924216,138,"r2c2AA"
11342644,0.998563248399803,405,1296,0.950195758846057,205.894121459511,42,0.969124668034628,233.21995523365,68,0.979695235851535,257.983800174339,105,"r2c2AA"
11349860,0.997142421956791,362,304,0.950497502794178,238.986880031945,27,0.970301227828273,266.656268875264,43,0.979991397194018,286.418203791939,61,"r2c2AA"
11349872,0.999710077974023,472,3152,0.946411369091403,215.916522448189,26,0.972420407490028,254.559514102376,51,0.981416630606166,278.382167042679,77,"r2c2AA"
11364317,0.995254045857231,371,644,0.950122374818136,203.60091795426,60,0.969883947665771,245.010780478184,109,0.980177733962189,277.075137510048,169,"r2c2AA"
11371550,0.996759639547439,368,470,0.950121531321247,239.310705325942,46,0.969674708455052,267.868164228187,72,0.980016138457413,290.085142754626,104,"r2c2AA"
