"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
12992630,3680,454,10267819,110.456539512468,12,282,242,396,171,576,147,376,431,325,165,244,325,"r3c2"
12242167,1740,453,5476310,131.206813934544,12,82,112,125,80,201,168,291,127,135,67,171,181,"r2c2ABB"
13115340,1313,452,1979444,99.6498187676198,12,40,102,115,92,186,52,133,154,110,74,92,163,"r3c2"
11130554,4107,451,13698629,115.729158218437,12,171,251,229,207,318,302,415,631,496,230,504,353,"r2c2AA"
11455393,6191,451,11649830,101.594401325543,12,278,252,388,588,592,463,612,729,609,470,731,479,"r2c2AA"
11159420,1467,450,3386492,99.9112553473964,12,52,103,108,80,90,89,160,151,234,90,187,123,"r2c2AA"
11015283,7466,450,13821485,118.897562947861,12,340,401,412,309,656,271,293,1477,1067,270,768,1202,"r2c2ABB"
12769074,463,450,1885039,172.118243243243,12,3,9,27,2,63,54,19,58,40,30,122,36,"r2c2ABB"
12980426,1006,450,5182557,143.433992029226,12,122,121,181,61,66,62,63,67,35,29,66,133,"r2c3"
12083355,2316,449,13839494,171.622837584791,12,119,220,208,88,315,159,118,246,238,50,280,275,"r2c2ABA"
12227734,759,448,2150884,123.670883164673,12,43,88,29,50,47,123,77,39,73,77,88,25,"r2c2ABB"
11246031,1054,447,6334274,154.193622200584,12,51,68,54,27,113,98,187,89,121,86,77,83,"r2c2AA"
11953439,1017,447,4893063,173.932283520546,12,86,49,97,79,145,95,30,111,68,50,102,105,"r2c2ABA"
14176759,270,445,1395972,177.491671964399,12,36,20,11,22,29,29,35,20,5,5,39,19,"r3c2"
11008066,2736,443,5658743,113.442584499419,12,157,123,125,90,180,228,72,466,371,75,310,539,"r2c2ABB"
11130543,1123,442,3858900,126.467407334579,12,101,58,41,78,60,40,127,109,125,46,118,220,"r2c2AA"
11274881,1536,442,4336752,101.028560779015,12,74,93,82,129,149,126,219,152,153,63,132,164,"r2c2AA"
15186780,391,441,1129777,151.485250737463,11,3,77,28,65,77,13,112,0,2,8,5,1,"r3c2"
11130541,1221,440,3444374,93.3814287650807,12,32,49,46,48,104,117,260,121,138,47,122,137,"r2c2AA"
