"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"21781",0,"natural",9.58055461222382,0,Inf,9.48011070412123,9.6820627461556
"21782",0,"suburban",11.2730817375421,0,Inf,11.1108121630965,11.4377212030816
"21783",0,"urban",11.9962047109545,0,Inf,11.7897482488331,12.2062765404148
"21784",5,"natural",9.88608912171083,0,Inf,9.79502575260972,9.97799909779405
"21785",5,"suburban",11.520431196072,0,Inf,11.3754090534371,11.6673021884278
"21786",5,"urban",12.314277012414,0,Inf,12.1292544433908,12.502121960274
"21787",10,"natural",10.2013674654815,0,Inf,10.1202044538116,10.2831813962603
"21788",10,"suburban",11.7732078976627,0,Inf,11.6459034886012,11.9019039044291
"21789",10,"urban",12.6407828135838,0,Inf,12.477593209583,12.8061067111465
"21790",15,"natural",10.5267003852152,0,Inf,10.4558598681614,10.5980208607726
"21791",15,"suburban",12.0315309247147,0,Inf,11.9221725856672,12.1418923734079
"21792",15,"urban",12.9759457237411,0,Inf,12.8343937037014,13.119058937464
"21793",20,"natural",10.8624085324878,0,Inf,10.8020990835799,10.923054696473
"21794",20,"suburban",12.2955219724867,0,Inf,12.2038516208419,12.3878809143923
"21795",20,"urban",13.319995281031,0,Inf,13.1987527188863,13.4423515665092
"21796",25,"natural",11.2088227848096,0,Inf,11.1587843773139,11.2590855753688
"21797",25,"suburban",12.5653054064263,0,Inf,12.4900456836669,12.6410186123846
"21798",25,"urban",13.6731671096676,0,Inf,13.5687765343613,13.7783608076568
"21799",30,"natural",11.5662845717414,0,Inf,11.5252118086792,11.6075037071127
"21800",30,"suburban",12.8410083207582,0,Inf,12.7787340831139,12.9035860376555
"21801",30,"urban",14.0357030813021,0,Inf,13.941152867098,14.1308945439805
"21802",35,"natural",11.9351462114115,0,Inf,11.8995771163742,11.9708216262374
"21803",35,"suburban",13.1227605983576,0,Inf,13.0662358708306,13.1795298526828
"21804",35,"urban",14.40785148067,0,Inf,14.3120996326916,14.504243934613
"21805",40,"natural",12.315771257764,0,Inf,12.279337400751,12.3523132171845
"21806",40,"suburban",13.4106949719381,0,Inf,13.3492481847388,13.4724245996094
"21807",40,"urban",14.7898671756304,0,Inf,14.6805260909023,14.9000226366781
"21808",45,"natural",12.708534858881,0,Inf,12.6641085541765,12.7531170132089
"21809",45,"suburban",13.7049470865813,0,Inf,13.6288481297651,13.781470954672
"21810",45,"urban",15.1820117917136,0,Inf,15.0489542869833,15.316245743606
"21811",50,"natural",13.1138241267332,0,Inf,13.0562417901646,13.1716604204159
"21812",50,"suburban",14.0056555636392,0,Inf,13.9085818938101,14.1034067502308
"21813",50,"urban",15.5845538912965,0,Inf,15.4206812169467,15.7501680096864
