"","abslat","urban2","hemisphere","Contrast","conf.low","conf.high","p.value"
"93","slope","Natural-Urban","northern-southern",0.0230455989873692,0.00602219293176749,0.0400690050429709,0.00797226132215947
"94","slope","Natural-Suburban","northern-northern",-0.013499280766029,-0.0185939058853633,-0.00840465564669468,2.077814654569e-07
"95","slope","Natural-Suburban","northern-southern",0.0419477648701946,0.027548644911031,0.0563468848293582,1.14111159040133e-08
"96","slope","Natural-Urban","southern-northern",-0.104361214152912,-0.113400931012649,-0.0953214972931754,2.46653820459809e-112
"97","slope","Natural-Urban","southern-southern",-0.0536045744970504,-0.0718386305867353,-0.0353705184073656,8.3932303186174e-09
"98","slope","Natural-Suburban","southern-northern",-0.0901494542504487,-0.0985039679321768,-0.0817949405687205,1.70523103846155e-98
"99","slope","Natural-Suburban","southern-southern",-0.0347024086142251,-0.0505069511020196,-0.0188978661264306,1.68530321105318e-05
"100","slope","Urban-Urban","northern-southern",0.0507566396558616,0.0330888077106501,0.0684244716010731,1.81043424233367e-08
"101","slope","Urban-Suburban","northern-northern",0.0142117599024634,0.00725560397982414,0.0211679158251026,6.23189634899477e-05
"102","slope","Urban-Suburban","northern-southern",0.069658805538687,0.0545037355730551,0.0848138755043188,2.20801156947659e-19
"103","slope","Urban-Suburban","southern-northern",-0.0365448797533982,-0.0538692267141612,-0.0192205327926352,3.56583141800307e-05
"104","slope","Urban-Suburban","southern-southern",0.0189021658828254,-0.00301589320371362,0.0408202249693644,0.0909722942043001
"105","slope","Suburban-Suburban","northern-southern",0.0554470456362236,0.0406908730009807,0.0702032182714665,1.821727834081e-13
"106","slope","Natural-Natural","northern-southern",0.0760432874068394,0.0683135478782832,0.0837730269353956,2.65885123029417e-82
"107","slope","Natural-Urban","northern-northern",-0.0271871279298729,-0.0333763454602207,-0.0209979103995251,7.70361779848567e-18
"108","slope","Natural-Urban","northern-southern",0.0222837002980631,0.0052016145007674,0.0393657860953588,0.0105663131481715
"109","slope","Natural-Suburban","northern-northern",-0.0135422648186615,-0.0186557621673605,-0.00842876746996248,2.10805001756013e-07
"110","slope","Natural-Suburban","northern-southern",0.0444980111412963,0.0300484259594383,0.0589475963231543,1.59970655664546e-09
"111","slope","Natural-Urban","southern-northern",-0.103230415336712,-0.112298770838737,-0.0941620598346881,2.65874209577226e-109
"112","slope","Natural-Urban","southern-southern",-0.0537595871087763,-0.0720547111832619,-0.0354644630342907,8.5247132180347e-09
"113","slope","Natural-Suburban","southern-northern",-0.0895855522255009,-0.0979674174910407,-0.0812036869599612,1.10393916359548e-96
"114","slope","Natural-Suburban","southern-southern",-0.0315452762655431,-0.0474047339417721,-0.0156858185893141,9.69648454489916e-05
"115","slope","Urban-Urban","northern-southern",0.049470828227936,0.0317420640345036,0.0671995924213684,4.55572086600159e-08
"116","slope","Urban-Suburban","northern-northern",0.0136448631112114,0.00666373429995969,0.0206259919224631,0.000127914810157906
"117","slope","Urban-Suburban","northern-southern",0.0716851390711692,0.0564773062829771,0.0868929718593612,2.66130151700404e-20
"118","slope","Urban-Suburban","southern-northern",-0.0358259651167246,-0.0532098442150701,-0.018442086018379,5.37309605983252e-05
"119","slope","Urban-Suburban","southern-southern",0.0222143108432332,0.000220752248661568,0.0442078694378048,0.0477445575311979
