"","term","value","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1526","urban2","Suburban","Suburban",105.693850911975,0,Inf,103.311958015464,108.102889455878
"1527","urban2","Urban","Urban",91.2119205505223,0,Inf,88.4598567807823,94.0061406310299
"1528","urban2","Natural","Natural",129.158379437617,0,Inf,127.7501497956,130.574328269133
"1529","urban2","Suburban","Suburban",106.529093534137,0,Inf,104.128329441367,108.957218900521
"1530","urban2","Urban","Urban",93.8358033340109,0,Inf,91.0248851666476,96.6894656768603
"1531","urban2","Natural","Natural",129.190838455027,0,Inf,127.783554036938,130.605829727728
"1532","urban2","Suburban","Suburban",106.884260776868,0,Inf,104.4662281051,109.329958742314
"1533","urban2","Urban","Urban",91.8626696607555,0,Inf,89.1346464880968,94.6318124107307
"1534","urban2","Natural","Natural",128.359218639108,0,Inf,126.965196742812,129.760851681902
"1535","urban2","Suburban","Suburban",105.927000010363,0,Inf,103.507671267932,108.374277071023
"1536","urban2","Urban","Urban",92.1761031804051,0,Inf,89.4287623984766,94.9650084504307
"1537","urban2","Natural","Natural",128.83284799159,0,Inf,127.438258150796,130.235027042313
"1538","urban2","Suburban","Suburban",105.415994645821,0,Inf,102.993661215518,107.866483669048
"1539","urban2","Urban","Urban",92.8409155572643,0,Inf,90.1213478334208,95.6009094161784
"1540","urban2","Natural","Natural",128.623965768706,0,Inf,127.224144356004,130.031446079693
"1541","urban2","Suburban","Suburban",105.601224967062,0,Inf,103.227072120071,108.002370247394
"1542","urban2","Urban","Urban",92.2393311295798,0,Inf,89.4719599095865,95.0488504601348
"1543","urban2","Natural","Natural",128.410216429976,0,Inf,127.015017700213,129.813036153108
"1544","urban2","Suburban","Suburban",106.067569648509,0,Inf,103.610022553075,108.553921658639
"1545","urban2","Urban","Urban",91.0377822355683,0,Inf,88.3409161024652,93.7751966503127
"1546","urban2","Natural","Natural",128.996469918475,0,Inf,127.599015899022,130.401534719587
"1547","urban2","Suburban","Suburban",107.529315800565,0,Inf,105.098923806555,109.987488667896
"1548","urban2","Urban","Urban",92.3249988670112,0,Inf,89.5978654229793,95.0930159829182
"1549","urban2","Natural","Natural",128.208464621584,0,Inf,126.820308732082,129.604176486129
"1550","urban2","Suburban","Suburban",105.949942429274,0,Inf,103.489755862882,108.439028611106
"1551","urban2","Urban","Urban",92.003677969022,0,Inf,89.2944564465542,94.7533868968841
"1552","urban2","Natural","Natural",128.688728819594,0,Inf,127.290372601641,130.09472399983
"1553","urban2","Suburban","Suburban",105.359774964948,0,Inf,102.96484583895,107.782237442587
"1554","urban2","Urban","Urban",91.090039943434,0,Inf,88.3619774678303,93.859577321466
"1555","urban2","Natural","Natural",128.913971243181,0,Inf,127.519149990794,130.316379427814
"1556","urban2","Suburban","Suburban",106.082089804927,0,Inf,103.644481274623,108.548031111584
"1557","urban2","Urban","Urban",91.3974641620857,0,Inf,88.6851246597757,94.1506582683782
"1558","urban2","Natural","Natural",128.975918802818,0,Inf,127.582728716941,130.376674382758
"1559","urban2","Suburban","Suburban",106.252939439118,0,Inf,103.879879713162,108.652799319603
"1560","urban2","Urban","Urban",91.6876141313183,0,Inf,88.9512405028252,94.4654415780093
"1561","urban2","Natural","Natural",128.755963842595,0,Inf,127.356724761624,130.162847545262
"1562","urban2","Suburban","Suburban",106.590895792581,0,Inf,104.195032215833,109.013992438171
"1563","urban2","Urban","Urban",93.2189259508622,0,Inf,90.4207552936517,96.0597356144956
"1564","urban2","Natural","Natural",129.243574996428,0,Inf,127.846912986591,130.647824526043
"1565","urban2","Suburban","Suburban",105.42089804309,0,Inf,103.043372097108,107.825540451022
"1566","urban2","Urban","Urban",91.972745119211,0,Inf,89.1862482396455,94.8021050332073
"1567","urban2","Natural","Natural",128.935985898794,0,Inf,127.538512311819,130.341074070983
"1568","urban2","Suburban","Suburban",105.25612527159,0,Inf,102.892567492763,107.646522447715
"1569","urban2","Urban","Urban",93.3800980698602,0,Inf,90.5478328463292,96.2559793001905
"1570","urban2","Natural","Natural",128.831130847215,0,Inf,127.440521977297,130.229285644446
"1571","urban2","Suburban","Suburban",106.158434350619,0,Inf,103.702440676534,108.643171407537
"1572","urban2","Urban","Urban",93.8572164599821,0,Inf,91.0955318028322,96.6601404465701
"1573","urban2","Natural","Natural",128.262389469051,0,Inf,126.87021768379,129.66215791837
"1574","urban2","Suburban","Suburban",106.38391452264,0,Inf,103.953404794764,108.842510444468
"1575","urban2","Urban","Urban",92.5352804978125,0,Inf,89.7501386029245,95.3629791050331
"1576","urban2","Natural","Natural",128.949620613373,0,Inf,127.555049100277,130.351774226551
"1577","urban2","Suburban","Suburban",105.860952834939,0,Inf,103.426465467311,108.323759770416
"1578","urban2","Urban","Urban",93.2757415579396,0,Inf,90.5509498795109,96.0409239842292
"1579","urban2","Natural","Natural",129.130089226963,0,Inf,127.727958136885,130.539874296583
"1580","urban2","Suburban","Suburban",107.198994386041,0,Inf,104.804714750429,109.62031485881
"1581","urban2","Urban","Urban",91.7073637593973,0,Inf,88.9262162212583,94.531334121943
"1582","urban2","Natural","Natural",129.157509070752,0,Inf,127.756632348411,130.566024415737
"1583","urban2","Suburban","Suburban",106.42243814081,0,Inf,104.026938708711,108.845205904636
"1584","urban2","Urban","Urban",92.282452614619,0,Inf,89.5378619074579,95.0684754759676
"1585","urban2","Natural","Natural",128.657081458875,0,Inf,127.260337146034,130.061448969912
"1586","urban2","Suburban","Suburban",106.1915839455,0,Inf,103.747837177218,108.663777494002
"1587","urban2","Urban","Urban",94.1545189040119,0,Inf,91.4481695670997,96.9003327344361
"1588","urban2","Natural","Natural",128.933181475949,0,Inf,127.543176020423,130.330720293899
"1589","urban2","Suburban","Suburban",105.636272599155,0,Inf,103.232411770693,108.067800276113
"1590","urban2","Urban","Urban",91.044192884978,0,Inf,88.299915707849,93.8304647402274
"1591","urban2","Natural","Natural",129.303374082173,0,Inf,127.902644751315,130.711731761757
"1592","urban2","Suburban","Suburban",106.384589531953,0,Inf,103.99865102952,108.797587630851
"1593","urban2","Urban","Urban",92.4480233450911,0,Inf,89.6888153306196,95.2490332584654
"1594","urban2","Natural","Natural",128.692291940076,0,Inf,127.29493258468,130.097279128141
"1595","urban2","Suburban","Suburban",106.21310745862,0,Inf,103.832343755605,108.620856834657
"1596","urban2","Urban","Urban",92.0980680028093,0,Inf,89.2797850599167,94.960144595715
"1597","urban2","Natural","Natural",128.479271477361,0,Inf,127.078809262351,129.887408304479
