"","urban2","season","estimate","p.value","s.value","conf.low","conf.high"
"31","Natural","Summer",98.8274138674417,0,Inf,96.8990405188139,100.774786763316
"32","Natural","Winter",85.2887495669773,0,Inf,82.6552084906534,87.9635899260418
"33","Suburban","Summer",76.8489536379694,0,Inf,73.8821522625695,79.8741554543491
"34","Suburban","Winter",69.8338817720855,0,Inf,66.7488187701428,72.9886375532677
"35","Urban","Summer",64.4069752906186,0,Inf,61.7827621550304,67.0857668683367
"36","Urban","Winter",64.4854877322435,0,Inf,61.6096275756443,67.4269463651211
"37","Natural","Summer",98.2741134632218,0,Inf,96.3602454470918,100.206801277407
"38","Natural","Winter",84.5905686343774,0,Inf,81.9938015977926,87.2278173123293
"39","Suburban","Summer",76.0047597702954,0,Inf,73.0672123811319,79.0001988100478
"40","Suburban","Winter",69.749021025999,0,Inf,66.5994238175139,72.9713824397853
"41","Urban","Summer",63.7886027539353,0,Inf,61.1167280285311,66.5176386217229
"42","Urban","Winter",63.2211954436231,0,Inf,60.3592528658243,66.1494253179328
"43","Natural","Summer",98.4720487908127,0,Inf,96.5529260067944,100.410056958246
"44","Natural","Winter",84.1762319353998,0,Inf,81.58153614196,86.8115463906827
"45","Suburban","Summer",75.5415096472394,0,Inf,72.6881668511449,78.4497828705082
"46","Suburban","Winter",70.3341659811925,0,Inf,67.2252276598684,73.5133774536906
"47","Urban","Summer",65.2045357296567,0,Inf,62.505505096974,67.9606141866339
"48","Urban","Winter",64.1438772430199,0,Inf,61.268860363871,67.0848109378751
"49","Natural","Summer",98.9587230675014,0,Inf,97.0473281435026,100.888757811004
"50","Natural","Winter",84.3878211692465,0,Inf,81.8024679301475,87.0133961075399
"51","Suburban","Summer",75.5973170432033,0,Inf,72.7002111023995,78.5510255713897
"52","Suburban","Winter",70.8744520951339,0,Inf,67.7613488314491,74.0574697234357
"53","Urban","Summer",64.644177374446,0,Inf,61.9562465903424,67.3891836886139
"54","Urban","Winter",64.2394072749503,0,Inf,61.3474827331192,67.197933804547
"55","Natural","Summer",98.9942733998889,0,Inf,97.0685727745098,100.93888843159
"56","Natural","Winter",85.835887445384,0,Inf,83.1996305249086,88.5132616014024
"57","Suburban","Summer",75.5823728724402,0,Inf,72.707828385939,78.5126444556213
"58","Suburban","Winter",69.2172346361976,0,Inf,66.1066127813248,72.3993682533484
"59","Urban","Summer",66.3198952259432,0,Inf,63.591859366498,69.1052238245116
"60","Urban","Winter",63.7494191864636,0,Inf,60.9178145438116,66.6453472201705
"61","Natural","Summer",98.7630812555134,0,Inf,96.8441732907554,100.700814168152
"62","Natural","Winter",84.5045237468647,0,Inf,81.9137046229657,87.1356795007078
"63","Suburban","Summer",74.8703130820326,0,Inf,71.9880422697179,77.8091573535469
"64","Suburban","Winter",70.5609885930728,0,Inf,67.376740203323,73.8187541350117
"65","Urban","Summer",65.8623726985703,0,Inf,63.1739111225377,68.6068542558929
"66","Urban","Winter",65.1859402901836,0,Inf,62.3321639654232,68.1035903630933
"67","Natural","Summer",99.0422562218018,0,Inf,97.117339118165,100.98606302112
"68","Natural","Winter",85.1172457688061,0,Inf,82.4828048939961,87.7930989668258
"69","Suburban","Summer",75.1269203205619,0,Inf,72.2965205206025,78.011666304268
"70","Suburban","Winter",69.9511399850129,0,Inf,66.8631221862239,73.1088659310428
"71","Urban","Summer",65.5401185302158,0,Inf,62.7800488614355,68.3595620764288
"72","Urban","Winter",64.9989394810743,0,Inf,62.111075073567,67.9524229299294
"73","Natural","Summer",98.8023744383948,0,Inf,96.87400247099,100.749750788419
"74","Natural","Winter",84.8411641468507,0,Inf,82.2220696323497,87.5013214221895
"75","Suburban","Summer",75.17092554018,0,Inf,72.291804702628,78.1062648331495
"76","Suburban","Winter",69.2893996893537,0,Inf,66.1310107970587,72.5214612080505
"77","Urban","Summer",65.9713089363281,0,Inf,63.2157140213856,68.7856881398123
"78","Urban","Winter",64.7532897895994,0,Inf,61.8866011415676,67.6848786578854
"79","Natural","Summer",98.3807312446484,0,Inf,96.4757385615867,100.304348322595
"80","Natural","Winter",84.4750273605463,0,Inf,81.8775719923387,87.1130422732711
"81","Suburban","Summer",75.2223180721633,0,Inf,72.3681885658426,78.1316463656617
"82","Suburban","Winter",69.6998919848417,0,Inf,66.6161595350436,72.8533933477003
"83","Urban","Summer",65.5955797268489,0,Inf,62.843137090812,68.40701400229
"84","Urban","Winter",63.5416302417713,0,Inf,60.6748113767897,66.4746218694415
"85","Natural","Summer",98.7934800931357,0,Inf,96.8810019231111,100.724650839046
"86","Natural","Winter",84.7265115908641,0,Inf,82.0959168500215,87.398590315518
"87","Suburban","Summer",76.5198454724986,0,Inf,73.5687085618123,79.5290151297296
"88","Suburban","Winter",70.3414255472883,0,Inf,67.2719065580316,73.4794198717406
"89","Urban","Summer",66.2388928083966,0,Inf,63.4613752835194,69.0758973982755
"90","Urban","Winter",64.9472879884368,0,Inf,62.0110167455741,67.9514779237152
"91","Natural","Summer",98.6371159108728,0,Inf,96.7104605176505,100.582773798755
"92","Natural","Winter",85.0881944728509,0,Inf,82.4738013675168,87.7433812396931
"93","Suburban","Summer",75.7249233994311,0,Inf,72.8246936271904,78.681781620775
"94","Suburban","Winter",69.8647417446256,0,Inf,66.7103088163245,73.0920413820922
"95","Urban","Summer",64.9330012325564,0,Inf,62.2355070904465,67.687720967974
"96","Urban","Winter",64.9716433371721,0,Inf,62.0870394615995,67.9217446019246
"97","Natural","Summer",98.6947332716698,0,Inf,96.7727291492754,100.63563664766
"98","Natural","Winter",85.2917084046194,0,Inf,82.6698805460723,87.9544646691573
"99","Suburban","Summer",75.058061977163,0,Inf,72.2236946380136,77.9469804185913
"100","Suburban","Winter",69.4611404170971,0,Inf,66.2917812534076,72.7045031935157
"101","Urban","Summer",66.1430685630752,0,Inf,63.3910504421397,68.9535613053418
"102","Urban","Winter",65.5794823333447,0,Inf,62.7317266059528,68.4904493083384
"103","Natural","Summer",98.9591127704,0,Inf,97.0320872882881,100.905085618303
"104","Natural","Winter",84.805723904952,0,Inf,82.2047653018648,87.4471913163662
"105","Suburban","Summer",76.8443321470067,0,Inf,73.9211883119701,79.824157198308
"106","Suburban","Winter",69.9235217191982,0,Inf,66.8027827493037,73.1154999470692
"107","Urban","Summer",65.3115834184972,0,Inf,62.6393696239855,68.0396116106786
"108","Urban","Winter",63.8634897861802,0,Inf,60.9867626273422,66.8065096249789
"109","Natural","Summer",99.0185448941777,0,Inf,97.0951338156198,100.960820537254
"110","Natural","Winter",85.2058130756998,0,Inf,82.5827341033104,87.8699017824283
