"","abslat","urban2","Slope","conf.low","conf.high","p.value"
"1802","slope","urban",-0.00106767624564951,-0.00112364559193196,-0.00101170689936706,2.13874572591086e-297
"1803","slope","suburban",-0.00100656579932783,-0.00105338128813138,-0.000959750310524284,0
"1804","slope","natural",-0.00111108826097871,-0.00114078731409294,-0.00108138920786448,0
"1805","slope","urban",-0.00108496131318835,-0.00114130940718647,-0.00102861321919024,8.6379326791185e-303
"1806","slope","suburban",-0.000987882395083003,-0.00103421049452894,-0.000941554295637068,0
"1807","slope","natural",-0.00110884991663445,-0.00113845264871364,-0.00107924718455527,0
"1808","slope","urban",-0.00103810813766073,-0.00109431832801617,-0.000981897947305285,2.27027995525942e-279
"1809","slope","suburban",-0.000990232432553472,-0.00103689171196936,-0.00094357315313758,0
"1810","slope","natural",-0.00110508158649407,-0.00113486210954857,-0.00107530106343957,0
"1811","slope","urban",-0.00102545272120797,-0.00108125515114321,-0.000969650291272726,1.08293514800857e-276
"1812","slope","suburban",-0.000988856306408867,-0.00103545770471998,-0.000942254908097752,0
"1813","slope","natural",-0.00110676663377656,-0.00113645061712965,-0.00107708265042347,0
"1814","slope","urban",-0.00105353468103724,-0.00110994926676073,-0.000997120095313748,1.94387030954614e-285
"1815","slope","suburban",-0.000982447580387331,-0.00102881471794381,-0.000936080442830856,0
"1816","slope","natural",-0.0011096975932356,-0.00113953533240032,-0.00107985985407089,0
"1817","slope","urban",-0.00102019469531217,-0.00107641832632319,-0.000963971064301157,5.30170171609948e-270
"1818","slope","suburban",-0.000982195021889645,-0.00102903990924343,-0.000935350134535857,0
"1819","slope","natural",-0.00110681072129043,-0.00113654282126911,-0.00107707862131176,0
"1820","slope","urban",-0.00104251116712714,-0.0010985167510919,-0.000986505583162383,1.1767819877666e-283
"1821","slope","suburban",-0.00100289522915639,-0.00104969432955321,-0.000956096128759572,0
"1822","slope","natural",-0.00109640023180517,-0.00112605992606242,-0.00106674053754793,0
"1823","slope","urban",-0.00104705188567697,-0.00110341030397807,-0.000990693467375878,1.34455795648593e-282
"1824","slope","suburban",-0.00100257362742116,-0.00104897487078162,-0.000956172384060697,0
"1825","slope","natural",-0.00110617314607557,-0.00113595339463214,-0.00107639289751901,0
"1826","slope","urban",-0.00102635234890643,-0.00108241469445473,-0.000970290003358133,1.1054259693597e-274
"1827","slope","suburban",-0.00100504808914612,-0.00105158231086762,-0.00095851386742461,0
"1828","slope","natural",-0.00110839057542126,-0.00113809396426497,-0.00107868718657756,0
"1829","slope","urban",-0.00105197794600037,-0.00110776901645652,-0.000996186875544221,8.46798680499363e-291
"1830","slope","suburban",-0.000997829232657765,-0.00104477312912772,-0.00095088533618781,0
"1831","slope","natural",-0.0011199296486125,-0.00114972798610496,-0.00109013131112004,0
"1832","slope","urban",-0.00103863078699004,-0.00109520948588546,-0.000982052088094622,3.92144995327333e-276
"1833","slope","suburban",-0.00100219359443795,-0.00104917470498779,-0.000955212483888117,0
"1834","slope","natural",-0.00110645582523511,-0.0011361693646941,-0.00107674228577612,0
"1835","slope","urban",-0.00104342929490398,-0.00109984162641402,-0.000987016963393941,3.40957265965714e-280
"1836","slope","suburban",-0.00100322554511295,-0.00104999862141867,-0.000956452468807224,0
"1837","slope","natural",-0.00110970409261106,-0.00113950449350155,-0.00107990369172057,0
"1838","slope","urban",-0.00106052519236686,-0.0011166441387119,-0.00100440624602182,4.69546917870231e-292
"1839","slope","suburban",-0.000973571244433845,-0.00102009463775038,-0.000927047851117309,0
"1840","slope","natural",-0.00110631364973182,-0.00113601544209172,-0.00107661185737193,0
"1841","slope","urban",-0.00104997798380531,-0.00110652979320414,-0.000993426174406485,2.98525623727991e-282
"1842","slope","suburban",-0.00099544277084429,-0.00104153013454813,-0.000949355407140447,0
"1843","slope","natural",-0.00110841542860937,-0.00113804571698385,-0.0010787851402349,0
"1844","slope","urban",-0.00107098211159823,-0.00112698691494953,-0.00101497730824693,8.24183544871145e-299
"1845","slope","suburban",-0.00100335685245861,-0.00104972698371773,-0.000956986721199478,0
"1846","slope","natural",-0.00111118322575619,-0.00114087103788214,-0.00108149541363025,0
"1847","slope","urban",-0.00104883685984602,-0.00110469465924218,-0.000992979060449855,1.85628839259433e-288
"1848","slope","suburban",-0.000986892685754799,-0.00103317419142473,-0.000940611180084867,0
"1849","slope","natural",-0.00110307032194751,-0.00113269876864206,-0.00107344187525296,0
"1850","slope","urban",-0.00106064224118649,-0.00111627796744398,-0.001005006514929,4.92369295798909e-297
"1851","slope","suburban",-0.000998371546648101,-0.00104497726886258,-0.000951765824433618,0
"1852","slope","natural",-0.00111358416131224,-0.00114322459325758,-0.0010839437293669,0
"1853","slope","urban",-0.00106658558777368,-0.00112267573783971,-0.00101049543770765,1.40838311228113e-295
"1854","slope","suburban",-0.000993531938854257,-0.00103996557210866,-0.000947098305599849,0
"1855","slope","natural",-0.00110674734939999,-0.00113637204784656,-0.00107712265095342,0
"1856","slope","urban",-0.00106491522819712,-0.00112102425897207,-0.00100880619742217,1.70971672099482e-294
"1857","slope","suburban",-0.000997331852210656,-0.00104350627812892,-0.000951157426292396,0
"1858","slope","natural",-0.00110565256168833,-0.00113521490767891,-0.00107609021569774,0
"1859","slope","urban",-0.00103208793409479,-0.00108802171141851,-0.000976154156771069,6.82704770889784e-279
"1860","slope","suburban",-0.000978261808503403,-0.00102482615736407,-0.000931697459642736,0
"1861","slope","natural",-0.00110673510876886,-0.00113643211515064,-0.00107703810238708,0
"1862","slope","urban",-0.00107437964185227,-0.00113083746849203,-0.00101792181521251,5.27402410709951e-296
"1863","slope","suburban",-0.000986374266760189,-0.00103266812950594,-0.000940080404014437,0
"1864","slope","natural",-0.00110709759739953,-0.00113679999413539,-0.00107739520066368,0
"1865","slope","urban",-0.00103708627308023,-0.00109346172501501,-0.000980710821145448,2.91574865416024e-277
"1866","slope","suburban",-0.00100452646190846,-0.00105127841923483,-0.000957774504582099,0
"1867","slope","natural",-0.00110842929992996,-0.00113814037497639,-0.00107871822488352,0
"1868","slope","urban",-0.0010566027053103,-0.00111285699101758,-0.00100034841960302,1.25692201940367e-288
"1869","slope","suburban",-0.0010004764238487,-0.00104728748461953,-0.000953665363077871,0
"1870","slope","natural",-0.001112717605813,-0.00114248279262992,-0.00108295241899609,0
